text,category,department,category_code,org_code,urgency,urgency_score
suggestion to open more counters at the local post office,Posts,Posts,61,DPOST,Low,5
"water scheme funds misused, corruption suspected there is a medical emergency",Rural Development,Rural Development,4976,DORLD,High,49
"wrong tax demand raised, no response to my grievance no response despite repeated complaints",Income Tax,Income Tax,4414,CBODT,Low,23
my registered parcel has been stuck in transit for 18 days,Posts,Posts,61,DPOST,Low,12
request for information about filing revised return senior citizen with no other support,Income Tax,Income Tax,4414,CBODT,Low,22
"school building unsafe, roof leaking, children at risk",School Education,School Education,398,DOSEL,Medium,35
"my elderly widowed mother's pension stopped for 8 months, senior citizen with no income, medical bills unpaid, urgent",Pension,Pension,6281,DEAPR,Critical,75
"safety concern in my locality, no police response, danger my elderly parent is suffering",Home Affairs,Home Affairs,4742,MINHA,High,50
"job card application pending, repeatedly visiting the office senior citizen with no other support",Rural Development,Rural Development,4976,DORLD,Medium,35
"sewage overflow on the road for 12 days, health hazard",Housing and Urban Affairs,Housing and Urban Affairs,2426,DOURD,Low,17
my registered parcel has been stuck in transit for 19 days there is a medical emergency,Posts,Posts,61,DPOST,Medium,29
"wrong tax demand raised, no response to my grievance",Income Tax,Income Tax,4414,CBODT,Low,15
housing scheme allotment pending for 6 months please help immediately,Housing and Urban Affairs,Housing and Urban Affairs,2426,DOURD,Medium,35
"repeatedly following up on refund, no action taken",Income Tax,Income Tax,4414,CBODT,Low,14
"pension not credited for 10 months, elderly and no other income this is urgent",Pension,Pension,6281,DEAPR,High,47
"no oxygen supply at government hospital, patient dying, urgent action needed immediately",Health and Family Welfare,Health and Family Welfare,656,DHLTH,High,49
"pregnant woman denied urgent maternity care, life in danger, no response",Women and Child Development,Women and Child Development,5410,DOWCD,High,68
"harassment at workplace, no action taken despite complaints i have complained repeatedly and it is still unresolved",Labour and Employment,Labour and Employment,2173,MOLBR,Medium,41
request for status of my vehicle registration,Road Transport and Highways,Road Transport and Highways,616,MORTH,Low,2
"child harassment reported at centre, immediate action needed please help immediately",Women and Child Development,Women and Child Development,5410,DOWCD,High,53
"threat to my family safety, unsafe situation, no police response despite repeated calls, urgent",Home Affairs,Home Affairs,4742,MINHA,High,53
"domestic violence emergency, my life is in danger, immediate protection needed",Home Affairs,Home Affairs,4742,MINHA,Medium,35
"driving licence renewal pending for 5 months, no response no response despite repeated complaints",Road Transport and Highways,Road Transport and Highways,616,MORTH,Medium,29
suggestion to open more counters at the local post office,Posts,Posts,61,DPOST,Low,10
request for information about child care schemes my elderly parent is suffering,Women and Child Development,Women and Child Development,5410,DOWCD,Medium,32
"amount debited from my account but transaction failed, 3 months no refund situation is unsafe and dangerous",Banking,Banking,251,DEABD,Medium,40
"ambulance did not arrive on time, elderly patient in danger no response despite repeated complaints",Health and Family Welfare,Health and Family Welfare,656,DHLTH,High,45
wrongly charged extra amount on my mobile bill this month situation is unsafe and dangerous,Telecommunications,Telecommunications,1,DOTEL,Medium,33
"child harassment reported at centre, immediate action needed",Women and Child Development,Women and Child Development,5410,DOWCD,High,45
request for information about the housing scheme eligibility,Rural Development,Rural Development,4976,DORLD,Low,2
request for information about filing a consumer complaint,Consumer Affairs,Consumer Affairs,5409,DOCAF,Low,2
"reserved seat given to someone else, harassment by staff senior citizen with no other support",Railway,Railway,2565,MORLY,High,46
request for information about the housing scheme eligibility i have complained repeatedly and it is still unresolved,Rural Development,Rural Development,4976,DORLD,Low,14
scholarship amount not received by my child for 3 months situation is unsafe and dangerous,School Education,School Education,398,DOSEL,High,65
"online order not delivered, money not refunded",Consumer Affairs,Consumer Affairs,5409,DOCAF,Low,8
"fraud drained my entire account, money stolen, elderly and no savings left, urgent help needed immediately",Banking,Banking,251,DEABD,High,68
"school building unsafe, roof leaking, children at risk no response despite repeated complaints",School Education,School Education,398,DOSEL,High,47
request for information about filing a consumer complaint i have complained repeatedly and it is still unresolved,Consumer Affairs,Consumer Affairs,5409,DOCAF,Low,14
"ambulance did not arrive on time, elderly patient in danger i have complained repeatedly and it is still unresolved",Health and Family Welfare,Health and Family Welfare,656,DHLTH,High,45
"threat to my family, urgent protection needed",Home Affairs,Home Affairs,4742,MINHA,Medium,37
"amount debited from my account but transaction failed, 5 months no refund this is urgent",Banking,Banking,251,DEABD,Medium,31
train ticket refund not processed for 6 months despite cancellation,Railway,Railway,2565,MORLY,Low,20
request for status of my vehicle registration,Road Transport and Highways,Road Transport and Highways,616,MORTH,Low,10
"pension not credited for 6 months, elderly and no other income my elderly parent is suffering",Pension,Pension,6281,DEAPR,Medium,31
"my provident fund withdrawal pending for 10 months, need it urgently",Labour and Employment,Labour and Employment,2173,MOLBR,Medium,30
passport verification pending with police for 4 months there is a medical emergency,Home Affairs,Home Affairs,4742,MINHA,Medium,39
"hospital demanded bribe to admit my critically ill child, this is corruption and unsafe",Health and Family Welfare,Health and Family Welfare,656,DHLTH,High,68
"online order not delivered, money not refunded this is urgent",Consumer Affairs,Consumer Affairs,5409,DOCAF,Low,19
"no oxygen supply at government hospital, patient dying, urgent action needed immediately",Health and Family Welfare,Health and Family Welfare,656,DHLTH,High,49
"speed post delivery delayed by 13 days, urgent documents inside senior citizen with no other support",Posts,Posts,61,DPOST,Medium,41
"driving licence renewal pending for 9 months, no response situation is unsafe and dangerous",Road Transport and Highways,Road Transport and Highways,616,MORTH,High,51
"child harassment emergency at the centre, unsafe, immediate action needed, complained repeatedly",Women and Child Development,Women and Child Development,5410,DOWCD,High,68
"unsafe conditions at the platform, no security at night no response despite repeated complaints",Railway,Railway,2565,MORLY,Medium,31
my landline has been dead for 5 days and no technician has come please help immediately,Telecommunications,Telecommunications,1,DOTEL,Low,24
train ticket refund not processed for 10 months despite cancellation,Railway,Railway,2565,MORLY,Low,15
"job card application pending, repeatedly visiting the office my elderly parent is suffering",Rural Development,Rural Development,4976,DORLD,Medium,34
"false advertisement, product not as described, fraud there is a medical emergency",Consumer Affairs,Consumer Affairs,5409,DOCAF,High,50
"my father's pension has been stopped since 6 months, he is a senior citizen there is a medical emergency",Pension,Pension,6281,DEAPR,Critical,74
my registered parcel has been stuck in transit for 9 days,Posts,Posts,61,DPOST,Low,20
"medicines out of stock at government hospital, patient suffering there is a medical emergency",Health and Family Welfare,Health and Family Welfare,656,DHLTH,High,50
"father is a disabled senior citizen, pension denied for 10 months, no food, please help immediately",Pension,Pension,6281,DEAPR,Critical,71
"toll charged despite pass, request refund situation is unsafe and dangerous",Road Transport and Highways,Road Transport and Highways,616,MORTH,Low,19
"money order not delivered to my elderly mother, she is waiting there is a medical emergency",Posts,Posts,61,DPOST,Medium,44
"sewage and no water for 15 days, children falling sick, health emergency, unsafe, no response repeatedly",Housing and Urban Affairs,Housing and Urban Affairs,2426,DOURD,High,60
"loan emi wrongly deducted twice, bank not responding there is a medical emergency",Banking,Banking,251,DEABD,Medium,28
train ticket refund not processed for 7 months despite cancellation,Railway,Railway,2565,MORLY,Low,18
request for information about the housing scheme eligibility,Rural Development,Rural Development,4976,DORLD,Low,7
"sewage and no water for 15 days, children falling sick, health emergency, unsafe, no response repeatedly",Housing and Urban Affairs,Housing and Urban Affairs,2426,DOURD,High,60
rural road construction incomplete for 7 months my elderly parent is suffering,Rural Development,Rural Development,4976,DORLD,Medium,36
"call drops happening continuously, unable to make emergency calls",Telecommunications,Telecommunications,1,DOTEL,Low,23
suggestion to open more counters at the local post office i have complained repeatedly and it is still unresolved,Posts,Posts,61,DPOST,Low,19
request for status of my police clearance certificate senior citizen with no other support,Home Affairs,Home Affairs,4742,MINHA,Low,22
"child harassment emergency at the centre, unsafe, immediate action needed, complained repeatedly",Women and Child Development,Women and Child Development,5410,DOWCD,High,68
"large potholes on the highway causing accidents, unsafe for months my elderly parent is suffering",Road Transport and Highways,Road Transport and Highways,616,MORTH,Medium,40
"call drops happening continuously, unable to make emergency calls my elderly parent is suffering",Telecommunications,Telecommunications,1,DOTEL,Medium,34
"sewage overflow on the road for 10 days, health hazard my elderly parent is suffering",Housing and Urban Affairs,Housing and Urban Affairs,2426,DOURD,Medium,28
"fraud transaction on my account, money stolen, please help urgently",Banking,Banking,251,DEABD,High,47
"sewage overflow on the road for 4 days, health hazard i have complained repeatedly and it is still unresolved",Housing and Urban Affairs,Housing and Urban Affairs,2426,DOURD,Low,20
"unsafe conditions at the platform, no security at night",Railway,Railway,2565,MORLY,Low,24
"fraud transaction on my account, money stolen, please help urgently situation is unsafe and dangerous",Banking,Banking,251,DEABD,High,58
"loan emi wrongly deducted twice, bank not responding there is a medical emergency",Banking,Banking,251,DEABD,Medium,33
"water scheme funds misused, corruption suspected",Rural Development,Rural Development,4976,DORLD,Medium,27
"ambulance did not arrive on time, elderly patient in danger",Health and Family Welfare,Health and Family Welfare,656,DHLTH,Medium,33
"domestic violence case, need urgent help, unsafe at home",Women and Child Development,Women and Child Development,5410,DOWCD,Low,24
"false advertisement, product not as described, fraud no response despite repeated complaints",Consumer Affairs,Consumer Affairs,5409,DOCAF,Medium,38
"pregnant woman denied urgent maternity care, life in danger, no response",Women and Child Development,Women and Child Development,5410,DOWCD,High,68
"wrong tax demand raised, no response to my grievance senior citizen with no other support",Income Tax,Income Tax,4414,CBODT,Medium,35
"water scheme funds misused, corruption suspected i have complained repeatedly and it is still unresolved",Rural Development,Rural Development,4976,DORLD,Medium,39
"pension not credited for 6 months, elderly and no other income i have complained repeatedly and it is still unresolved",Pension,Pension,6281,DEAPR,High,51
no network coverage in my area for 3 days despite repeated complaints this is urgent,Telecommunications,Telecommunications,1,DOTEL,Low,24
atm did not dispense cash but my account was debited,Banking,Banking,251,DEABD,Low,8
request to update my kyc details in the account my elderly parent is suffering,Banking,Banking,251,DEABD,Medium,26
suggestion to open more counters at the local post office,Posts,Posts,61,DPOST,Low,7
"no oxygen supply at government hospital, patient dying, urgent action needed immediately",Health and Family Welfare,Health and Family Welfare,656,DHLTH,High,49
"speed post delivery delayed by 13 days, urgent documents inside no response despite repeated complaints",Posts,Posts,61,DPOST,Medium,31
"online order not delivered, money not refunded my elderly parent is suffering",Consumer Affairs,Consumer Affairs,5409,DOCAF,Medium,27
"medical emergency, no doctor or ambulance available, elderly patient in danger, please help immediately",Health and Family Welfare,Health and Family Welfare,656,DHLTH,High,56
wrongly charged extra amount on my mobile bill this month there is a medical emergency,Telecommunications,Telecommunications,1,DOTEL,Medium,30
"water scheme funds misused, corruption suspected senior citizen with no other support",Rural Development,Rural Development,4976,DORLD,Medium,44
"money order not delivered to my elderly mother, she is waiting there is a medical emergency",Posts,Posts,61,DPOST,Medium,41
request for information about filing a consumer complaint this is urgent,Consumer Affairs,Consumer Affairs,5409,DOCAF,Low,18
request for information about property tax payment,Housing and Urban Affairs,Housing and Urban Affairs,2426,DOURD,Low,7
"workplace accident, unsafe conditions caused injury, worker in danger, employer ignoring repeatedly, urgent",Labour and Employment,Labour and Employment,2173,MOLBR,High,46
my landline has been dead for 8 days and no technician has come no response despite repeated complaints,Telecommunications,Telecommunications,1,DOTEL,Low,24
request for information about child care schemes,Women and Child Development,Women and Child Development,5410,DOWCD,Low,18
request for status of my police clearance certificate,Home Affairs,Home Affairs,4742,MINHA,Low,2
request for information about train schedule changes,Railway,Railway,2565,MORLY,Low,7
train ticket refund not processed for 8 months despite cancellation there is a medical emergency,Railway,Railway,2565,MORLY,Medium,40
"safety concern in my locality, no police response, danger no response despite repeated complaints",Home Affairs,Home Affairs,4742,MINHA,Medium,41
passport verification pending with police for 7 months please help immediately,Home Affairs,Home Affairs,4742,MINHA,Medium,27
my monthly income scheme interest not credited since 7 months situation is unsafe and dangerous,Posts,Posts,61,DPOST,Medium,40
scholarship amount not received by my child for 4 months please help immediately,School Education,School Education,398,DOSEL,High,64
"no water supply in our locality for 4 days, children falling sick",Housing and Urban Affairs,Housing and Urban Affairs,2426,DOURD,Low,24
mgnrega wages not paid for 4 months to labourers in our village please help immediately,Rural Development,Rural Development,4976,DORLD,Medium,26
"pregnant woman denied urgent maternity care, life in danger, no response",Women and Child Development,Women and Child Development,5410,DOWCD,High,68
"unsafe conditions at the platform, no security at night situation is unsafe and dangerous",Railway,Railway,2565,MORLY,Medium,33
"amount debited from my account but transaction failed, 3 months no refund",Banking,Banking,251,DEABD,Low,23
"pregnant woman denied urgent maternity care, life in danger, no response",Women and Child Development,Women and Child Development,5410,DOWCD,High,68
"call drops happening continuously, unable to make emergency calls senior citizen with no other support",Telecommunications,Telecommunications,1,DOTEL,Medium,35
tds credit not reflecting in my account,Income Tax,Income Tax,4414,CBODT,Low,16
"father is a disabled senior citizen, pension denied for 10 months, no food, please help immediately",Pension,Pension,6281,DEAPR,Critical,71
request for information about the vaccination schedule,Health and Family Welfare,Health and Family Welfare,656,DHLTH,Low,2
"speed post delivery delayed by 2 days, urgent documents inside this is urgent",Posts,Posts,61,DPOST,Low,20
"online order not delivered, money not refunded",Consumer Affairs,Consumer Affairs,5409,DOCAF,Low,13
broadband speed is far lower than the plan i am paying for,Telecommunications,Telecommunications,1,DOTEL,Low,8
"water scheme funds misused, corruption suspected",Rural Development,Rural Development,4976,DORLD,Medium,32
my landline has been dead for 1 days and no technician has come,Telecommunications,Telecommunications,1,DOTEL,Low,11
request for status of my vehicle registration this is urgent,Road Transport and Highways,Road Transport and Highways,616,MORTH,Low,18
"overcharged above mrp, shopkeeper cheated me",Consumer Affairs,Consumer Affairs,5409,DOCAF,Low,14
broadband speed is far lower than the plan i am paying for situation is unsafe and dangerous,Telecommunications,Telecommunications,1,DOTEL,Medium,30
rural road construction incomplete for 1 months,Rural Development,Rural Development,4976,DORLD,Low,23
"street lights not working on the highway, danger at night senior citizen with no other support",Road Transport and Highways,Road Transport and Highways,616,MORTH,Medium,37
passport verification pending with police for 3 months my elderly parent is suffering,Home Affairs,Home Affairs,4742,MINHA,Medium,35
request for status of my vehicle registration i have complained repeatedly and it is still unresolved,Road Transport and Highways,Road Transport and Highways,616,MORTH,Low,14
"employer not paying wages for 4 months, family suffering",Labour and Employment,Labour and Employment,2173,MOLBR,Low,15
"unsafe conditions at the platform, no security at night my elderly parent is suffering",Railway,Railway,2565,MORLY,Medium,40
"reserved seat given to someone else, harassment by staff senior citizen with no other support",Railway,Railway,2565,MORLY,High,49
"pregnant woman denied urgent maternity care, life in danger, no response",Women and Child Development,Women and Child Development,5410,DOWCD,High,68
"no water supply in our locality for 4 days, children falling sick",Housing and Urban Affairs,Housing and Urban Affairs,2426,DOURD,Low,24
no network coverage in my area for 8 days despite repeated complaints,Telecommunications,Telecommunications,1,DOTEL,Low,20
"purchased defective product, seller refusing refund for 8 months i have complained repeatedly and it is still unresolved",Consumer Affairs,Consumer Affairs,5409,DOCAF,Medium,27
"sewage and no water for 15 days, children falling sick, health emergency, unsafe, no response repeatedly",Housing and Urban Affairs,Housing and Urban Affairs,2426,DOURD,High,60
"unsafe conditions at the platform, no security at night",Railway,Railway,2565,MORLY,Low,24
"threat to my family, urgent protection needed senior citizen with no other support",Home Affairs,Home Affairs,4742,MINHA,High,59
"repeatedly following up on refund, no action taken i have complained repeatedly and it is still unresolved",Income Tax,Income Tax,4414,CBODT,Low,20
request for update on my esi claim please help immediately,Labour and Employment,Labour and Employment,2173,MOLBR,Low,15
request for information about filing a consumer complaint senior citizen with no other support,Consumer Affairs,Consumer Affairs,5409,DOCAF,Low,19
"family pension denied after my husband's death, i am a widow",Pension,Pension,6281,DEAPR,High,50
anganwadi not providing nutrition to children for 3 days no response despite repeated complaints,Women and Child Development,Women and Child Development,5410,DOWCD,Medium,36
my monthly income scheme interest not credited since 2 months please help immediately,Posts,Posts,61,DPOST,Medium,28
"teacher shortage in the school, no classes happening",School Education,School Education,398,DOSEL,Low,16
rural road construction incomplete for 3 months please help immediately,Rural Development,Rural Development,4976,DORLD,Low,23
request for information about filing revised return i have complained repeatedly and it is still unresolved,Income Tax,Income Tax,4414,CBODT,Low,14
income tax refund pending for 5 months despite filing no response despite repeated complaints,Income Tax,Income Tax,4414,CBODT,Medium,26
mid day meal not provided for 8 days at the government school no response despite repeated complaints,School Education,School Education,398,DOSEL,Low,19
"fir not registered despite repeated visits, harassment this is urgent",Home Affairs,Home Affairs,4742,MINHA,Medium,37
wrongly charged extra amount on my mobile bill this month senior citizen with no other support,Telecommunications,Telecommunications,1,DOTEL,Medium,30
request to update my kyc details in the account,Banking,Banking,251,DEABD,Low,2
"hospital demanded bribe for admitting my child, this is corruption there is a medical emergency",Health and Family Welfare,Health and Family Welfare,656,DHLTH,High,60
request for information about child care schemes my elderly parent is suffering,Women and Child Development,Women and Child Development,5410,DOWCD,Medium,27
"driving licence renewal pending for 7 months, no response",Road Transport and Highways,Road Transport and Highways,616,MORTH,Medium,31
mgnrega wages not paid for 4 months to labourers in our village senior citizen with no other support,Rural Development,Rural Development,4976,DORLD,Medium,32
"threat to my family safety, unsafe situation, no police response despite repeated calls, urgent",Home Affairs,Home Affairs,4742,MINHA,High,53
"false advertisement, product not as described, fraud i have complained repeatedly and it is still unresolved",Consumer Affairs,Consumer Affairs,5409,DOCAF,Medium,40
"child harassment reported at centre, immediate action needed there is a medical emergency",Women and Child Development,Women and Child Development,5410,DOWCD,High,60
mid day meal not provided for 6 days at the government school situation is unsafe and dangerous,School Education,School Education,398,DOSEL,Medium,28
wrongly charged extra amount on my mobile bill this month situation is unsafe and dangerous,Telecommunications,Telecommunications,1,DOTEL,Medium,25
"child harassment emergency at the centre, unsafe, immediate action needed, complained repeatedly",Women and Child Development,Women and Child Development,5410,DOWCD,High,68
anganwadi not providing nutrition to children for 8 days,Women and Child Development,Women and Child Development,5410,DOWCD,Medium,36
"workplace accident, unsafe conditions caused injury, worker in danger, employer ignoring repeatedly, urgent",Labour and Employment,Labour and Employment,2173,MOLBR,High,46
request for information about the vaccination schedule please help immediately,Health and Family Welfare,Health and Family Welfare,656,DHLTH,Low,10
"large potholes on the highway causing accidents, unsafe for months senior citizen with no other support",Road Transport and Highways,Road Transport and Highways,616,MORTH,Medium,33
requesting information about porting my number to another operator this is urgent,Telecommunications,Telecommunications,1,DOTEL,Low,10
broadband speed is far lower than the plan i am paying for my elderly parent is suffering,Telecommunications,Telecommunications,1,DOTEL,Low,24
passport verification pending with police for 10 months i have complained repeatedly and it is still unresolved,Home Affairs,Home Affairs,4742,MINHA,Medium,34
request for status update on my pension revision application no response despite repeated complaints,Pension,Pension,6281,DEAPR,Low,17
"speed post delivery delayed by 14 days, urgent documents inside situation is unsafe and dangerous",Posts,Posts,61,DPOST,Medium,44
my monthly income scheme interest not credited since 1 months,Posts,Posts,61,DPOST,Low,23
request for information about the vaccination schedule my elderly parent is suffering,Health and Family Welfare,Health and Family Welfare,656,DHLTH,Low,21
"sewage and no water for 15 days, children falling sick, health emergency, unsafe, no response repeatedly",Housing and Urban Affairs,Housing and Urban Affairs,2426,DOURD,High,60
"threat to my family, urgent protection needed my elderly parent is suffering",Home Affairs,Home Affairs,4742,MINHA,High,61
"my provident fund withdrawal pending for 3 months, need it urgently this is urgent",Labour and Employment,Labour and Employment,2173,MOLBR,Medium,30
"threat to my family, urgent protection needed senior citizen with no other support",Home Affairs,Home Affairs,4742,MINHA,High,59
"workplace accident, unsafe conditions caused injury, worker in danger, employer ignoring repeatedly, urgent",Labour and Employment,Labour and Employment,2173,MOLBR,High,46
request for information about the housing scheme eligibility,Rural Development,Rural Development,4976,DORLD,Low,2
"pregnant woman denied urgent maternity care, life in danger, no response",Women and Child Development,Women and Child Development,5410,DOWCD,High,68
"safety concern in my locality, no police response, danger i have complained repeatedly and it is still unresolved",Home Affairs,Home Affairs,4742,MINHA,High,46
"false advertisement, product not as described, fraud situation is unsafe and dangerous",Consumer Affairs,Consumer Affairs,5409,DOCAF,High,45
"reserved seat given to someone else, harassment by staff",Railway,Railway,2565,MORLY,Medium,37
request for information about train schedule changes,Railway,Railway,2565,MORLY,Low,7
"medicines out of stock at government hospital, patient suffering",Health and Family Welfare,Health and Family Welfare,656,DHLTH,Medium,28
"threat to my family safety, unsafe situation, no police response despite repeated calls, urgent",Home Affairs,Home Affairs,4742,MINHA,High,53
"street lights not working on the highway, danger at night senior citizen with no other support",Road Transport and Highways,Road Transport and Highways,616,MORTH,Medium,34
"harassment at workplace, no action taken despite complaints situation is unsafe and dangerous",Labour and Employment,Labour and Employment,2173,MOLBR,High,51
suggestion to open more counters at the local post office,Posts,Posts,61,DPOST,Low,10
"online order not delivered, money not refunded senior citizen with no other support",Consumer Affairs,Consumer Affairs,5409,DOCAF,Medium,28
rural road construction incomplete for 10 months,Rural Development,Rural Development,4976,DORLD,Low,18
my registered parcel has been stuck in transit for 10 days,Posts,Posts,61,DPOST,Low,17
mid day meal not provided for 4 days at the government school senior citizen with no other support,School Education,School Education,398,DOSEL,Medium,25
"child harassment reported at centre, immediate action needed",Women and Child Development,Women and Child Development,5410,DOWCD,High,45
"unsafe conditions at the platform, no security at night senior citizen with no other support",Railway,Railway,2565,MORLY,Medium,38
"child harassment emergency at the centre, unsafe, immediate action needed, complained repeatedly",Women and Child Development,Women and Child Development,5410,DOWCD,High,68
my registered parcel has been stuck in transit for 5 days there is a medical emergency,Posts,Posts,61,DPOST,Medium,25
request for information about property tax payment this is urgent,Housing and Urban Affairs,Housing and Urban Affairs,2426,DOURD,Low,10
"street lights not working on the highway, danger at night please help immediately",Road Transport and Highways,Road Transport and Highways,616,MORTH,Medium,25
"wrong tax demand raised, no response to my grievance",Income Tax,Income Tax,4414,CBODT,Low,15
train ticket refund not processed for 2 months despite cancellation my elderly parent is suffering,Railway,Railway,2565,MORLY,Medium,39
request for status update on my pension revision application situation is unsafe and dangerous,Pension,Pension,6281,DEAPR,Low,19
my monthly income scheme interest not credited since 8 months,Posts,Posts,61,DPOST,Low,15
suggestion to open more counters at the local post office,Posts,Posts,61,DPOST,Low,7
"threat to my family safety, unsafe situation, no police response despite repeated calls, urgent",Home Affairs,Home Affairs,4742,MINHA,High,53
income tax refund pending for 10 months despite filing situation is unsafe and dangerous,Income Tax,Income Tax,4414,CBODT,Medium,39
"illegal construction next door, complained repeatedly no action",Housing and Urban Affairs,Housing and Urban Affairs,2426,DOURD,Medium,34
request for status update on my pension revision application,Pension,Pension,6281,DEAPR,Low,2
"pregnant woman denied urgent maternity care, life in danger, no response",Women and Child Development,Women and Child Development,5410,DOWCD,High,68
"pregnant woman denied urgent maternity care, life in danger, no response",Women and Child Development,Women and Child Development,5410,DOWCD,High,68
"threat to my family safety, unsafe situation, no police response despite repeated calls, urgent",Home Affairs,Home Affairs,4742,MINHA,High,53
"ambulance did not arrive on time, elderly patient in danger please help immediately",Health and Family Welfare,Health and Family Welfare,656,DHLTH,High,46
"reserved seat given to someone else, harassment by staff",Railway,Railway,2565,MORLY,Medium,37
request to update my kyc details in the account my elderly parent is suffering,Banking,Banking,251,DEABD,Low,23
request to update my kyc details in the account there is a medical emergency,Banking,Banking,251,DEABD,Medium,27
"threat to my family, urgent protection needed please help immediately",Home Affairs,Home Affairs,4742,MINHA,High,45
request for information about filing revised return situation is unsafe and dangerous,Income Tax,Income Tax,4414,CBODT,Low,22
"large potholes on the highway causing accidents, unsafe for months",Road Transport and Highways,Road Transport and Highways,616,MORTH,Low,16
"fir not registered despite repeated visits, harassment my elderly parent is suffering",Home Affairs,Home Affairs,4742,MINHA,High,45
"online order not delivered, money not refunded",Consumer Affairs,Consumer Affairs,5409,DOCAF,Low,8
"school building unsafe, roof leaking, children at risk senior citizen with no other support",School Education,School Education,398,DOSEL,Medium,39
"hospital demanded bribe for admitting my child, this is corruption please help immediately",Health and Family Welfare,Health and Family Welfare,656,DHLTH,High,65
"no oxygen supply at government hospital, patient dying, urgent action needed immediately",Health and Family Welfare,Health and Family Welfare,656,DHLTH,High,49
"my elderly widowed mother's pension stopped for 8 months, senior citizen with no income, medical bills unpaid, urgent",Pension,Pension,6281,DEAPR,Critical,75
broadband speed is far lower than the plan i am paying for,Telecommunications,Telecommunications,1,DOTEL,Low,13
atm did not dispense cash but my account was debited,Banking,Banking,251,DEABD,Low,13
"sewage overflow on the road for 8 days, health hazard this is urgent",Housing and Urban Affairs,Housing and Urban Affairs,2426,DOURD,Low,20
no network coverage in my area for 3 days despite repeated complaints i have complained repeatedly and it is still unresolved,Telecommunications,Telecommunications,1,DOTEL,Low,20
"online order not delivered, money not refunded",Consumer Affairs,Consumer Affairs,5409,DOCAF,Low,8
"harassment at workplace, no action taken despite complaints",Labour and Employment,Labour and Employment,2173,MOLBR,Medium,34
"domestic violence emergency, my life is in danger, immediate protection needed",Home Affairs,Home Affairs,4742,MINHA,Medium,35
mid day meal not provided for 6 days at the government school senior citizen with no other support,School Education,School Education,398,DOSEL,Medium,30
"purchased defective product, seller refusing refund for 3 months",Consumer Affairs,Consumer Affairs,5409,DOCAF,Low,15
"overcharged above mrp, shopkeeper cheated me",Consumer Affairs,Consumer Affairs,5409,DOCAF,Low,14
"pension not credited for 3 months, elderly and no other income",Pension,Pension,6281,DEAPR,Medium,31
train ticket refund not processed for 5 months despite cancellation please help immediately,Railway,Railway,2565,MORLY,Medium,28
"safety concern in my locality, no police response, danger my elderly parent is suffering",Home Affairs,Home Affairs,4742,MINHA,High,45
"pregnant woman denied urgent maternity care, life in danger, no response",Women and Child Development,Women and Child Development,5410,DOWCD,High,68
request for status update on my pension revision application,Pension,Pension,6281,DEAPR,Low,10
"child harassment emergency at the centre, unsafe, immediate action needed, complained repeatedly",Women and Child Development,Women and Child Development,5410,DOWCD,High,68
mgnrega wages not paid for 5 months to labourers in our village,Rural Development,Rural Development,4976,DORLD,Low,20
"my father's pension has been stopped since 1 months, he is a senior citizen situation is unsafe and dangerous",Pension,Pension,6281,DEAPR,Critical,74
"maternity benefit not received, pregnant and no support this is urgent",Women and Child Development,Women and Child Development,5410,DOWCD,High,55
"domestic violence emergency, my life is in danger, immediate protection needed",Home Affairs,Home Affairs,4742,MINHA,Medium,35
anganwadi not providing nutrition to children for 5 days senior citizen with no other support,Women and Child Development,Women and Child Development,5410,DOWCD,Medium,34
"hospital demanded bribe to admit my critically ill child, this is corruption and unsafe",Health and Family Welfare,Health and Family Welfare,656,DHLTH,High,68
suggestion to open more counters at the local post office,Posts,Posts,61,DPOST,Low,2
"loan emi wrongly deducted twice, bank not responding there is a medical emergency",Banking,Banking,251,DEABD,Medium,28
scholarship amount not received by my child for 9 months this is urgent,School Education,School Education,398,DOSEL,High,56
"safety concern in my locality, no police response, danger there is a medical emergency",Home Affairs,Home Affairs,4742,MINHA,High,46
"father is a disabled senior citizen, pension denied for 10 months, no food, please help immediately",Pension,Pension,6281,DEAPR,Critical,71
"illegal construction next door, complained repeatedly no action situation is unsafe and dangerous",Housing and Urban Affairs,Housing and Urban Affairs,2426,DOURD,High,51
request for information about the housing scheme eligibility this is urgent,Rural Development,Rural Development,4976,DORLD,Low,10
"toll charged despite pass, request refund my elderly parent is suffering",Road Transport and Highways,Road Transport and Highways,616,MORTH,Low,23
rural road construction incomplete for 10 months senior citizen with no other support,Rural Development,Rural Development,4976,DORLD,Medium,32
"workplace accident, unsafe conditions caused injury, worker in danger, employer ignoring repeatedly, urgent",Labour and Employment,Labour and Employment,2173,MOLBR,High,46
"my father's pension has been stopped since 5 months, he is a senior citizen i have complained repeatedly and it is still unresolved",Pension,Pension,6281,DEAPR,High,69
"safety concern in my locality, no police response, danger",Home Affairs,Home Affairs,4742,MINHA,Medium,29
"ppo number not updated, pension pending, repeatedly following up",Pension,Pension,6281,DEAPR,Low,20
"illegal construction next door, complained repeatedly no action",Housing and Urban Affairs,Housing and Urban Affairs,2426,DOURD,Medium,26
request for information about property tax payment situation is unsafe and dangerous,Housing and Urban Affairs,Housing and Urban Affairs,2426,DOURD,Medium,27
"pension not credited for 3 months, elderly and no other income senior citizen with no other support",Pension,Pension,6281,DEAPR,Medium,38
